faculty,institution
"Bechner, Julie;Pennsylvania State University;1998",Swarthmore College
"Bechtel, Terence W.;University of Oklahoma;1996",Northwestern State University of Louisiana
"Beck, Daisy;Michigan State University;1997",Louisiana State University
"Beck, Paul M.;University of Missouri;1994",Graceland University
"Beck, Paul;University of Missouri;1994",Graceland University
"Becker, Bet;Kansas State University;1992",Southwestern Oklahoma State University
"Becker, David;Pennsylvania State University",Drexel University
"Becker, William S.;Louisiana State University;1970",Colorado College
"Beckham Gramm, Teresa;University of North Carolina;1999",Rhodes College
"Beckham, Eugene C.;Louisiana State University;1983",Northwood University
"Beckman, Mary P.;University of Notre Dame;1986",Lafayette College
"Beckmann, Heino;University of Pennsylvania;1974",University of St Thomas Minnesota
"Bedford, Bonnie C.;Binghamton University",Wilkes University
"Beegle, John A.;Saint Louis University;1967",Western Carolina University
"Beekman, Robert;University of South Carolina;1998",University of Tampa
"Beelders, Owen;University of Rochester;1998",Emory University
"Begin, Floyd C.;University of Iowa;1974",St. Ambrose University
"Behan, Donald F.;University of Illinois;1967",Georgia State University
"Behzad, Hadi;Indiana University;1989","California State University, East Bay"
