faculty,institution
"Williams, J. Richard (Dick);University of Mississippi;1993",Missouri State University
"Williams, J. Richard;University of Mississippi;1993",Missouri State University
"Williams, James L.;University of Georgia;1989",Delaware State University
"Williams, John E.;Georgia State University;1986",Morehouse College
"Williams, Karen;Florida State University;1992","University of Texas, San Antonio"
"Williams, M.;University of Sydney",University of Newcastle
"Williams, P. Richard;University of Arkansas;1995",Washburn University
"Williams, Patricia Elliott;Louisiana State University;1968",Friends University
"Williams, Patrick;Andrews University;1998",Andrews University
"Williams, Patrick;University of California, Los Angeles;1966",San Jose State University
"Williams, Randolph;University of Colorado",University of the West Indies
"Williams, Richard E.;Michigan State University;1975",Wright State University
"Williams, Russell;University of Massachusetts;2003","Wheaton College, MA"
"Williams, Selase;Indiana University;1978","California State University, Dominguez Hills"
"Williams, Steve",Harding University
"Williams, Steve;University of Nebraska;1990",Fort Hays State University
"Williams-Stanton, Sonya;University of Michigan;1993",Ohio State University
"Williamson, H. F. Jr.;Yale University;1969",University of Illinois
"Williamson, Joan W.;University of Delaware;1997",Delaware State University
"Williamson, Samuel H.;Purdue University;1968",Miami University
"Willis, Eugene;University of Cincinnati;1975",University of Illinois
"Willoughby, Floyd G.;Michigan State University;1984",Oakland University
"Wilson, Alex;Drexel University;1999","California State University, Long Beach"
"Wilson, Beth",Xavier University
"Wilson, Brent;Harvard University;1979","Brigham Young University, Hawaii"
"Wilson, Donald;University of Arkansas",Mercer University at Atlanta
"Wilson, Dwayne H.;University of Mississippi;1991",Freed Hardeman University
"Wilson, Dwayne;University of Mississippi;1991",Freed Hardeman University
"Wilson, Erika G.;University of Southern California;1979","California State University, Los Angeles"
"Wilson, Harold O.;University of Alabama;1968",Middle Tennessee State University
"Wilson, Ian;University of Calgary;1987",Utah Valley State College
"Wilson, James",University of Glasgow
"Wilson, Josie;Georgia State University;1985",Southern Oregon University
"Wilson, Keathen A.;Walden;1995",Saint Paul's College (Virginia)
"Wilson, L. A. II;University of Oregon;1976",University of Alaska Southeast
"Wilson, Loretta S.;University of Massachusetts;1986",Radford University
"Wilson, Lucas;University of Massachusetts;1995",Mount Holyoke College
"Wilson, Mary E.;University of Alabama, Birmingham;1985",Georgia Southwestern State University
"Wilson, Michael J.;University of Nebraska;1993",Northwest Missouri State University
"Wilson, Peter R.;University of North Carolina;1984",Duke University
"Wilson, Richard;University of Missouri;1982",Florida A&M University
"Wilson, William E.;Indiana University;1991",George Washington University
"Winczewski, Greg A.;Fordham University;1992",Fordham University
"Winfrey, John C.;Duke University;1965",Washington & Lee University
"Winiata, Whatarangi;University of Michigan;1966",Victoria University of Wellington
"Winick, Mara;Texas A&M University;1992",University of Redlands
"Winkelman, Richard D.;University of Illinois;1966",Arizona State University
"Winrich, J. Steven;University of Kentucky;1978",Centre College
"Winter, Kenneth M.;University of Wisconsin, Madison;1988","University of Wisconsin, La Crosse"
"Wion, Douglas A.;Pennsylvania State University;1980",Lock Haven University
"Wirick, Ronald G.;University of Western Ontario;1978",University of Western Ontario
"Wise, Tim;Louisiana Tech University;1995",Southern Arkansas University
"Wiseman, Melissa S.;Texas Tech University;1999",Houston Baptist University
"Withington, Robert P.;University of Pennsylvania;1976",SUNY Plattsburgh
"Witteloostuyn, Arjen;University of Groningen;1985",Maastricht University
"Woan, Ronald J.;Florida State University;1988",Indiana University of Pennsylvania
"Wohl, Larry;Washington State University;1986",Gustavus Adolphus College
"Wojdat, Kurt V.;University at Buffalo;1999",University of Rochester
"Wolf, Robert;Michigan State University;1996","University of Wisconsin, La Crosse"
"Wolfe, Terance;University of California, Los Angeles;1991","California State University, Northridge"
"Wolfenbarger, J. Larry;University of Tennessee;1974",Georgia College & State University
"Wolfmeyer, Marvin W.;University of Wisconsin, Madison;1971",Winona State University
"Wolfson, Melville Z.;University of Illinois;1971",University of New Orleans
"Wolgamott, Charles W.;University of Michigan;1987",Ferris State University
"Womack, Douglas;University of Alabama;1971","University of Louisiana, Lafayette"
"Womack, R. Douglas;University of Alabama;1971","University of Louisiana, Lafayette"
"Womeldorf, Thomas;American College;1989",Evergreen State College
"Womeldorf, Thomas;American College;1991",Evergreen State College
"Wong, Dennis M. Y.;George Washington University;1980",University of Hong Kong
"Wong, S.;University of California, Berkeley;1965",San Francisco State University
"Woodard, Beth;University of Alabama, Birmingham;1999",Belmont University
"Woodhouse, Robert H.;University of Iowa;1979",University of St Thomas Minnesota
"Woodruff, Theodore S.;Columbia University;1976",St. Ambrose University
"Woodside, B. Perry III;University of South Carolina;1978",College of Charleston
"Woodward, Larry R.;University of Arkansas;1994",University of Mary Hardin-Baylor
"Woodworth, Robert;Northwestern University;1964",University of Washington
"Wooley, Douglas C.;University of Connecticut;1976",Radford University
"Woolf, Linda L.;Kansas State University;1970",Washburn University
"Woolley, James W.;University of Texas at Austin;1965",University of Utah
"Word, William R.;University of Tennessee;1970","University of South Carolina, Spartanburg"
"Worthington, David J.;University of Reading",Lancaster University
"Worthington, Paula;Northwestern University;1988",Northwestern University
"Wragge, John H.;University of Houston;1975",University of Delaware
"Wright, Jeffrey J.;University of Connecticut;1987",Lenoir-Rhyne College
"Wright, Lorraine W.;Virginia Polytechnic Institute and State University;1992",North Carolina State University
"Wright, Marie;University of Massachusetts;1989",Western Connecticut State University
"Wright, Marshall;Regent University;2003",Oral Roberts University
"Wright, William E.;University of Texas at Austin;1956",Abilene Christian University
"Wrotniak, Maria;University of Lodz;1980",Westminster College (Utah)
"Wu, Anne;George Washington University;1990",National Chengchi University
"Wu, Junjun;Northwestern University",University of Arizona
"Wu, Yi-Lin;University of Chicago;2001",Hong Kong University of Science and Technology
"Wui, Yong-Suhk;Texas A&M University",University of Arkansas at Pine Bluff
"Wulin, Suo;University of Toronto;2000",Queen's University
"Wunsch, Daniel R.;University of California, Los Angeles;1980",Northern Illinois University
"Wyatt, Robert L.;University of Memphis;1993",Drury University
"Wyatt, Robert W.;University of Iowa;1978",University of Northern Iowa
"Wylie, Sam;London Business School;1999",Dartmouth College
"Wylie, Samuel V.;London Business School;1999",Dartmouth College
"Wyman, Harold E.;Stanford University;1967",Florida International University
"Wymar, Benno;University of Nebraska;1973",University of South Dakota
"Xiad, Wei;University of Pittsburgh;2001",Binghamton University
"Xiansheng, Duan;University of Illinois;1997",Southwestern Oklahoma State University
"Xiao, Feng;Amherst College;2003","California State University, Fullerton"
"Xiuqing, Ji (Susan);Arizona State University;2003","CUNY, Baruch College"
"Xu, Dingbo;University of Minnesota;1996",Hong Kong University of Science and Technology
"Xu, Kefeng;University of Maryland, College Park","University of Texas, San Antonio"
"Yager, William F.;University of Oregon;1991",Pacific Lutheran University
"Yalcindag, Selin;University of British Columbia",Washington & Jefferson College
"Yalsawarng, Suthathip;Southern Illinois University;1989",Union College
"Yaman, Dervim;University of New Orleans;2000",Western Michigan University
"Yan, Allan;University of Houston;2000",Houston Baptist University
"Yandell, Dirk;Purdue University;1981",University of San Diego
"Yang, Fang;University of Minnesota;2006",University at Albany
"Yang, Jung;University of Colorado;2003","California State University, Fullerton"
"Yang, Xiaomeng;Boston College;2002",Washington & Lee University
"Yang, Zili;Yale University;1993",Binghamton University
"Yarbrough, Bonnie;Pennsylvania State University;1980","University of North Carolina, Greensboro"
"Yasar, Gayikbagi",SUNY Old Westbury
"Yau, Jeffrey;University of Pennsylvania;2005",Virginia Polytechnic Institute and State University
"Yazdi, Khalil;University of Houston;1987",University of St Thomas Texas
"Yeaton, Kathryn G.;University of South Florida;1994",University of Connecticut
"Yee, Janice G.;Clark University;1990",Wartburg College
"Yeh, Hsiaw-Chan;University of California, Riverside;1983",National Taiwan University
"Yen, Ching-Chang;University of Michigan;1980",National University of Singapore
"Yeung, M. H. Iris",City University Hong Kong
"Yeutter, John P.;University of Oklahoma;1996",Northeastern State University
"Yigit, Taner;University of North Carolina;1999",Saint Louis University
"Yik, Michelle;University of British Columbia;1999",University of Hong Kong
"Yim, Andrew T.;Yale University;1995",Hong Kong University of Science and Technology
"Yin, Jennifer;University of Houston;1999",Rutgers University
"Yongil, Jeon;University of California, San Diego;1999",Central Michigan University
"Yorukoglu, Mehmet;University of Rochester;1996",University of Chicago
"Young, Arthur E.;Texas Tech University;2002",University of Evansville
"Young, Arthur;Georgia State University;1994",University of Central Missouri
"Young, Carol E.;Ohio State University;1973",Georgia State University
"Young, Carol I.;University of Georgia;1983",Wittenberg University
"Young, Edward G.;Washington State University;1977","University of Wisconsin, Eau Claire"
"Young, Gregory S.;University of Maryland, College Park;1993",North Carolina State University
"Young, Jeff;Dalhousie University;1994",Mount Saint Vincent University
"Young, Michael T.;University of Missouri;1992","Minnesota State University, Mankato"
"Youngil, Seon;University of California, San Diego",Central Michigan University
"Yu, Chwo-Ming Joseph;University of Michigan;1987",National Chengchi University
"Yu, Se Hwan;Washington University in St. Louis;1964",Korea University
"Yu, Seongjae;University of Minnesota;1972",Chung-Ang University
"Yuan, Wang;University of Wollongong",University of Technology Sydney
"Yue, Li;Queen's University;1995",University of Toronto
"Yuen, Alexander E. C.;Golden Gate University;1989",San Francisco State University
"Yuen, H. K. Sammy",City University Hong Kong
"Yunker, Gary W.;Southern Illinois University;1973",Jacksonville State University
"Yuoshida, Kotaro;Duke University;2006",Albion College
"Yuyuenyongwatana, Robert P.;University of North Texas;1988",Cameron University
"Zahn, G. Lawrence;Yale University;1971","University of California, Riverside"
"Zahrly, Janice H.;University of Florida;1984",University of North Dakota
"Zahrt Geib, Elizabeth;University of California;1997",Lewis & Clark College
